Mutant Number,Operator Class,Killed by,Description
110,ROR,"['1', '2', '3']",">(int,int):FALSE(int,int):triangle.Triangle@classify:43:a + b > c |==> false
"
111,COR,[],"&&(boolean,boolean):==(boolean,boolean):triangle.Triangle@classify:43:trian == 1 && a + b > c |==> trian == 1 == a + b > c
"
112,COR,"['1', '2', '3']","&&(boolean,boolean):FALSE(boolean,boolean):triangle.Triangle@classify:43:trian == 1 && a + b > c |==> false
"
113,COR,"['1', '2', '3']","&&(boolean,boolean):LHS(boolean,boolean):triangle.Triangle@classify:43:trian == 1 && a + b > c |==> trian == 1
"
114,COR,"['1', '2']","&&(boolean,boolean):RHS(boolean,boolean):triangle.Triangle@classify:43:trian == 1 && a + b > c |==> a + b > c
"
115,STD,"['1', '2', '3']","<CALL>:<NO-OP>:triangle.Triangle@classify:44:return Type.ISOSCELES; |==> return null;
"
116,LVR,"['1', '2', '3']","POS:0:triangle.Triangle@classify:45:2 |==> 0
"
117,LVR,"['1', '2', '3']","POS:NEG:triangle.Triangle@classify:45:2 |==> -2
"
118,ROR,"['1', '2', '3']","==(int,int):<=(int,int):triangle.Triangle@classify:45:trian == 2 |==> trian <= 2
"
119,ROR,"['1', '2']","==(int,int):>=(int,int):triangle.Triangle@classify:45:trian == 2 |==> trian >= 2
"
120,ROR,"['1', '2', '3']","==(int,int):FALSE(int,int):triangle.Triangle@classify:45:trian == 2 |==> false
"
121,AOR,"['1', '2', '3']","+(int,int):%(int,int):triangle.Triangle@classify:45:a + c |==> a % c
"
122,AOR,['2'],"+(int,int):*(int,int):triangle.Triangle@classify:45:a + c |==> a * c
"
123,AOR,"['1', '2', '3']","+(int,int):-(int,int):triangle.Triangle@classify:45:a + c |==> a - c
"
124,AOR,"['1', '2', '3']","+(int,int):/(int,int):triangle.Triangle@classify:45:a + c |==> a / c
"
125,ROR,"['1', '2']",">(int,int):!=(int,int):triangle.Triangle@classify:45:a + c > b |==> a + c != b
"
126,ROR,['2'],">(int,int):>=(int,int):triangle.Triangle@classify:45:a + c > b |==> a + c >= b
"
127,ROR,"['1', '2', '3']",">(int,int):FALSE(int,int):triangle.Triangle@classify:45:a + c > b |==> false
"
128,COR,[],"&&(boolean,boolean):==(boolean,boolean):triangle.Triangle@classify:45:trian == 2 && a + c > b |==> trian == 2 == a + c > b
"
129,COR,"['1', '2', '3']","&&(boolean,boolean):FALSE(boolean,boolean):triangle.Triangle@classify:45:trian == 2 && a + c > b |==> false
"
130,COR,"['1', '2']","&&(boolean,boolean):LHS(boolean,boolean):triangle.Triangle@classify:45:trian == 2 && a + c > b |==> trian == 2
"
131,COR,"['1', '2', '3']","&&(boolean,boolean):RHS(boolean,boolean):triangle.Triangle@classify:45:trian == 2 && a + c > b |==> a + c > b
"
132,STD,"['1', '2', '3']","<CALL>:<NO-OP>:triangle.Triangle@classify:46:return Type.ISOSCELES; |==> return null;
"
133,LVR,"['1', '2', '3']","POS:0:triangle.Triangle@classify:47:3 |==> 0
"
134,LVR,"['1', '2', '3']","POS:NEG:triangle.Triangle@classify:47:3 |==> -3
"
135,ROR,"['1', '2', '3']","==(int,int):<=(int,int):triangle.Triangle@classify:47:trian == 3 |==> trian <= 3
"
136,ROR,[],"==(int,int):>=(int,int):triangle.Triangle@classify:47:trian == 3 |==> trian >= 3
"
137,ROR,"['1', '2', '3']","==(int,int):FALSE(int,int):triangle.Triangle@classify:47:trian == 3 |==> false
"
138,AOR,"['1', '2', '3']","+(int,int):%(int,int):triangle.Triangle@classify:47:b + c |==> b % c
"
139,AOR,['2'],"+(int,int):*(int,int):triangle.Triangle@classify:47:b + c |==> b * c
"
140,AOR,"['1', '2', '3']","+(int,int):-(int,int):triangle.Triangle@classify:47:b + c |==> b - c
"
141,AOR,"['1', '2', '3']","+(int,int):/(int,int):triangle.Triangle@classify:47:b + c |==> b / c
"
142,ROR,"['1', '2']",">(int,int):!=(int,int):triangle.Triangle@classify:47:b + c > a |==> b + c != a
"
143,ROR,['2'],">(int,int):>=(int,int):triangle.Triangle@classify:47:b + c > a |==> b + c >= a
"
144,ROR,"['1', '2', '3']",">(int,int):FALSE(int,int):triangle.Triangle@classify:47:b + c > a |==> false
"
145,COR,[],"&&(boolean,boolean):==(boolean,boolean):triangle.Triangle@classify:47:trian == 3 && b + c > a |==> trian == 3 == b + c > a
"
146,COR,"['1', '2', '3']","&&(boolean,boolean):FALSE(boolean,boolean):triangle.Triangle@classify:47:trian == 3 && b + c > a |==> false
"
147,COR,"['1', '2']","&&(boolean,boolean):LHS(boolean,boolean):triangle.Triangle@classify:47:trian == 3 && b + c > a |==> trian == 3
"
148,COR,"['1', '2', '3']","&&(boolean,boolean):RHS(boolean,boolean):triangle.Triangle@classify:47:trian == 3 && b + c > a |==> b + c > a
"
149,STD,"['1', '2', '3']","<CALL>:<NO-OP>:triangle.Triangle@classify:48:return Type.ISOSCELES; |==> return null;
"
150,STD,"['1', '2', '3']","<CALL>:<NO-OP>:triangle.Triangle@classify:50:return Type.INVALID; |==> return null;
"
